dr_number,date_reported,date_occurred,time_occurred,area_id,area_name,reporting_district,crime_code,crime_code_description,mo_codes,victim_age,victim_sex,victim_descent,lat,lon,status_description,premise_description
121917916,2012-08-23,2012-08-23,835,19,Mission,1904,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0344,49,F,B,34.3241,-118.4602,Invest Cont,GAS STATION
121115610,2012-08-06,2012-08-06,2025,11,Northeast,1183,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114",0329 1802,46,M,H,34.0842,-118.2539,Invest Cont,STREET
101111077,2010-04-26,2010-04-26,930,11,Northeast,1122,330,BURGLARY FROM VEHICLE,0344 0358 0377 1307 1609,37,F,H,34.118,-118.2707,Invest Cont,PARK/PLAYGROUND
112017834,2011-09-08,2011-09-08,1,20,Olympic,2005,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0340 0347 0421 0432 0913 1813 1814 2000 1309 0337,48,F,H,34.0822,-118.3034,Adult Other,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
140217350,2014-09-12,2014-09-11,1430,2,Rampart,217,210,ROBBERY,0344 0334 0411 0305 0448,32,F,W,34.0776,-118.2635,Invest Cont,SIDEWALK
101521098,2010-10-13,2010-03-09,1200,15,N Hollywood,1546,354,THEFT OF IDENTITY,0930 1822,30,F,W,34.1577,-118.3855,Invest Cont,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
100315638,2010-06-16,2010-06-16,2020,3,Southwest,335,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 0605 1309,20,F,H,34.0256,-118.3177,Adult Other,STREET
110805223,2011-01-28,2011-01-28,300,8,West LA,836,330,BURGLARY FROM VEHICLE,0344 1609,31,M,W,34.0573,-118.4206,Invest Cont,STREET
131113355,2013-06-27,2013-06-26,2145,11,Northeast,1173,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0447 0906,27,M,H,34.0862,-118.2518,Invest Cont,STREET
130117711,2013-08-06,2013-08-06,630,1,Central,164,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,NA,24,F,A,34.046,-118.2509,Invest Cont,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
111010625,2011-05-21,2011-05-20,1700,10,West Valley,1045,354,THEFT OF IDENTITY,0930,21,M,W,34.1767,-118.5188,Invest Cont,SINGLE FAMILY DWELLING
141616621,2014-12-11,2014-09-11,1,16,Foothill,1642,434,FALSE IMPRISONMENT,0416 0448,32,M,W,34.2633,-118.426,Invest Cont,OTHER PREMISE
120309269,2012-03-23,2012-03-23,1130,3,Southwest,351,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 1259,16,M,H,34.0239,-118.346,Invest Cont,HIGH SCHOOL
151611088,2015-07-13,2015-07-10,1600,16,Foothill,1638,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),NA,14,NA,NA,34.2574,-118.2979,Invest Cont,STREET
101217535,2010-06-24,2010-06-23,1900,12,77th Street,1259,510,VEHICLE - STOLEN,NA,NA,NA,NA,33.9688,-118.2674,Invest Cont,STREET
